letter_number,filename,source_url,downloaded_path
A-1,alexander-lake-1.jpg,\N,junesucker_lake_pages/alexander-lake-1.jpg
A-1,alexander-lake-2.jpg,\N,junesucker_lake_pages/alexander-lake-2.jpg
A-18,big-elk-lake-main.jpg,\N,junesucker_lake_pages/big-elk-lake-main.jpg
A-18,big-elk-lake-view.jpg,\N,junesucker_lake_pages/big-elk-lake-view.jpg
A-18,big-elk-lake.jpg,\N,junesucker_lake_pages/big-elk-lake.jpg
A-19,little-elk-lake-main.jpg,\N,junesucker_lake_pages/little-elk-lake-main.jpg
A-3,buckeye-lake.jpg,\N,junesucker_lake_pages/buckeye-lake.jpg
A-61,trial-lake-main.jpg,\N,junesucker_lake_pages/trial-lake-main.jpg
BR-10,beaver-lake.jpg,\N,junesucker_lake_pages/beaver-lake.jpg
BR-36,hayden-lake.jpg,\N,junesucker_lake_pages/hayden-lake.jpg
BR-37,cutthroat-lake-1.jpg,\N,junesucker_lake_pages/cutthroat-lake-1.jpg
BR-37,cutthroat-lake-2.jpg,\N,junesucker_lake_pages/cutthroat-lake-2.jpg
BR-40,ruth-lake-1.jpg,\N,junesucker_lake_pages/ruth-lake-1.jpg
BR-40,ruth-lake-2.jpg,\N,junesucker_lake_pages/ruth-lake-2.jpg
DF-17,little-elk-lake-main.jpg,\N,junesucker_lake_pages/little-elk-lake-main.jpg
G-19,marsh-lake-g19.jpg,\N,junesucker_lake_pages/marsh-lake-g19.jpg
G-19,marshall-lake.jpg,\N,junesucker_lake_pages/marshall-lake.jpg
GR-35,ashley-twin-reservoir.jpg,\N,junesucker_lake_pages/ashley-twin-reservoir.jpg
W-47,fish-lake-uintas.jpg,\N,junesucker_lake_pages/fish-lake-uintas.jpg
W-48,bedground-lake.jpg,\N,junesucker_lake_pages/bedground-lake.jpg
W-48,round-lake.jpg,\N,junesucker_lake_pages/round-lake.jpg
WR-18,paradise-park-reservoir.jpg,\N,junesucker_lake_pages/paradise-park-reservoir.jpg
WR-64,chepeta-lake-1.jpg,\N,junesucker_lake_pages/chepeta-lake-1.jpg
WR-64,chepeta-lake-2.jpg,\N,junesucker_lake_pages/chepeta-lake-2.jpg
Z-1,butterfly-lake.jpg,\N,junesucker_lake_pages/butterfly-lake.jpg
Z-10,hoover-lake.jpg,\N,junesucker_lake_pages/hoover-lake.jpg
Z-11,marshall-lake.jpg,\N,junesucker_lake_pages/marshall-lake.jpg
Z-16,echo-lake-1.jpg,\N,junesucker_lake_pages/echo-lake-1.jpg
Z-16,echo-lake-golden-trout.jpg,\N,junesucker_lake_pages/echo-lake-golden-trout.jpg
Z-17,pyramid-lake-sign.jpg,\N,junesucker_lake_pages/pyramid-lake-sign.jpg
Z-17,pyramid-lake.jpg,\N,junesucker_lake_pages/pyramid-lake.jpg
Z-3,mirror-lake.jpg,\N,junesucker_lake_pages/mirror-lake.jpg
Z-46,bedground-lake.jpg,\N,junesucker_lake_pages/bedground-lake.jpg
Z-5,pass-lake.jpg,\N,junesucker_lake_pages/pass-lake.jpg
